fold,opt,z,hold,tr_sh,te_sh,trades,maxDD
2025,B,0.25,3,0.0,-3.5206309087762366,481,-0.29336719145371115
2025,B,0.25,6,0.0,-3.2144818234133647,465,-0.2732757240587654
2025,B,0.25,9,0.0,-2.7525945949175163,445,-0.2383969234087694
2025,B,0.35,3,0.0,-3.4478799779489804,476,-0.28408764458055696
2025,B,0.35,6,0.0,-3.2912764115441746,440,-0.2770436177599012
2025,B,0.35,9,0.0,-2.88380328455708,425,-0.2463234842828122
2025,B,0.5,3,0.0,-3.579045232942309,476,-0.2884338299622129
2025,B,0.5,6,0.0,-3.222547008280153,433,-0.2661335300129655
2025,B,0.5,9,0.0,-2.9272269461474045,414,-0.2453183933378146
2025,B,0.75,3,0.0,-3.5550957458432433,444,-0.27432687778510206
2025,B,0.75,6,0.0,-2.947361823662557,399,-0.23584932265527447
2025,B,0.75,9,0.0,-2.761968107653853,371,-0.22427138304696814
2025,B,1.0,3,0.0,-3.756333921815768,430,-0.2751513048946059
2025,B,1.0,6,0.0,-3.5021240249027707,381,-0.26763554961880914
2025,B,1.0,9,0.0,-2.8035016051202324,353,-0.22329084234827054
2026,B,0.25,3,-2.4873493084201943,-12.943173745961781,7,-0.018229050321375673
2026,B,0.25,6,-2.2711125597806694,-13.851762492052401,7,-0.019000243718225396
2026,B,0.25,9,-1.9448458304632221,-12.985771567723447,7,-0.01781783883432131
2026,B,0.35,3,-2.4359660137960413,-12.943173745961781,7,-0.018229050321375673
2026,B,0.35,6,-2.325355081173991,-13.851762492052401,7,-0.019000243718225396
2026,B,0.35,9,-2.0375321463995366,-12.985771567723447,7,-0.01781783883432131
2026,B,0.5,3,-2.528606066509714,-12.943173745961781,7,-0.018229050321375673
2026,B,0.5,6,-2.276809311311116,-13.851762492052401,7,-0.019000243718225396
2026,B,0.5,9,-2.068206201439831,-12.985771567723447,7,-0.01781783883432131
2026,B,0.75,3,-2.511691147273046,-11.086619344337999,10,-0.015341260989700362
2026,B,0.75,6,-2.0824291835709303,-12.624307041269716,10,-0.01705127942509612
2026,B,0.75,9,-1.9514674016873368,-11.627181204201376,9,-0.015774186580804844
2026,B,1.0,3,-2.653817105857207,-10.310759781285666,11,-0.014120623815970517
2026,B,1.0,6,-2.474278165846312,-11.390655403019416,10,-0.015228479287451985
2026,B,1.0,9,-1.98080704589512,-11.44572579647615,8,-0.015376990137053109
