fold,z_enter,hold_max,train_Sharpe,test_Sharpe,trades,maxDD,CAGR
2025,0.5,3,0.0,-3.579045232942309,476,-0.2884338299622129,-0.002132904589772444
2025,0.5,6,0.0,-3.222547008280153,433,-0.2661335300129655,-0.001962642900142031
2025,0.5,9,0.0,-2.9272269461474045,414,-0.2453183933378146,-0.0018137171148121523
2025,0.75,3,0.0,-3.5550957458432433,444,-0.27432687778510206,-0.002036330138674991
2025,0.75,6,0.0,-2.947361823662557,399,-0.23584932265527447,-0.0017458735626211253
2025,0.75,9,0.0,-2.761968107653853,371,-0.22427138304696814,-0.001658297433321576
2025,1.0,3,0.0,-3.756333921815768,430,-0.2751513048946059,-0.0020063930179938794
2025,1.0,6,0.0,-3.5021240249027707,381,-0.26763554961880914,-0.0019298298867861385
2025,1.0,9,0.0,-2.8035016051202324,353,-0.22329084234827054,-0.0015828004793533301
2025,1.25,3,0.0,-4.366489742663117,397,-0.23843477649724784,-0.0016839230414090745
2025,1.25,6,0.0,-3.8578590745481733,336,-0.22070505430691106,-0.0016029536166026759
2025,1.25,9,0.0,-2.781102212445425,314,-0.1849640397282412,-0.0011890645485379547
2026,0.5,3,-2.528606066509714,-12.943173745961781,7,-0.018229050321375673,-0.0043451453136170715
2026,0.5,6,-2.276809311311116,-13.851762492052401,7,-0.019000243718225396,-0.004692399430978655
2026,0.5,9,-2.068206201439831,-12.985771567723447,7,-0.01781783883432131,-0.00446149623911396
2026,0.75,3,-2.511691147273046,-11.086619344337999,10,-0.015341260989700362,-0.0035851080010266267
2026,0.75,6,-2.0824291835709303,-12.624307041269716,10,-0.01705127942509612,-0.004179716281504042
2026,0.75,9,-1.9514674016873368,-11.627181204201376,9,-0.015774186580804844,-0.003923860179424921
2026,1.0,3,-2.653817105857207,-10.310759781285666,11,-0.014120623815970517,-0.0032636099799527862
2026,1.0,6,-2.474278165846312,-11.390655403019416,10,-0.015228479287451985,-0.0037000333949959163
2026,1.0,9,-1.98080704589512,-11.44572579647615,8,-0.015376990137053109,-0.003819213262710508
2026,1.25,3,-3.084692207370542,-9.263321125549226,12,-0.012299487538530603,-0.0027835249673968665
2026,1.25,6,-2.7255169127874748,-10.548367519611052,10,-0.013867237911389236,-0.003341517262096194
2026,1.25,9,-1.9649839412915948,-10.737277026868927,9,-0.014014975972444917,-0.0034603755483473275
